path,bytes_uncompressed,over_2mb,crawl_window_bytes,body_start_byte,h1_pos_byte,h1_in_first_2mb,top20_byte_cutoff,h1_in_top20_html,top20_body_byte_cutoff,h1_in_top20_body,uniqueness_marker,uniqueness_pos_byte,uniqueness_in_first_2mb,uniqueness_in_top20_html,uniqueness_in_top20_body
assisted-living/alaska/cities/ketchikan/index.html,16722,false,16722,2291,2882,true,3344,true,5177,true,Local Data Signals,3049,true,true,true
assisted-living/alaska/cities/kodiak/index.html,16356,false,16356,2243,2834,true,3271,true,5065,true,Local Data Signals,2998,true,true,true
assisted-living/alaska/cities/kotzebue/index.html,16307,false,16307,2275,2866,true,3261,true,5081,true,Local Data Signals,3032,true,true,true
assisted-living/alaska/cities/nome/index.html,16077,false,16077,2211,2802,true,3215,true,4984,true,Local Data Signals,2964,true,true,true
assisted-living/alaska/cities/palmer/index.html,16222,false,16222,2243,2834,true,3244,true,5038,true,Local Data Signals,2998,true,true,true
assisted-living/alaska/cities/petersburg/index.html,16506,false,16506,2307,2898,true,3301,true,5146,true,Local Data Signals,3066,true,true,true
assisted-living/alaska/cities/seward/index.html,16343,false,16343,2243,2834,true,3268,true,5063,true,Local Data Signals,2998,true,true,true
assisted-living/alaska/cities/sitka/index.html,16166,false,16166,2227,2818,true,3233,true,5014,true,Local Data Signals,2981,true,true,true
assisted-living/alaska/cities/soldotna/index.html,16307,false,16307,2275,2866,true,3261,true,5081,true,Local Data Signals,3032,true,true,true
assisted-living/alaska/cities/valdez/index.html,16350,false,16350,2243,2834,true,3270,true,5064,true,Local Data Signals,2998,true,true,true
assisted-living/alaska/cities/wasilla/index.html,16285,false,16285,2259,2850,true,3257,true,5064,true,Local Data Signals,3015,true,true,true
assisted-living/alaska/cities/wrangell/index.html,16383,false,16383,2275,2866,true,3276,true,5096,true,Local Data Signals,3032,true,true,true
assisted-living/alaska/index.html,21212,false,21212,2143,2734,true,4242,true,5956,true,Statewide Data Signals,2894,true,true,true
assisted-living/arizona/cities/apache-junction/index.html,16961,false,16961,2392,2983,true,3392,true,5305,true,Local Data Signals,3156,true,true,true
assisted-living/arizona/cities/avondale/index.html,16544,false,16544,2280,2871,true,3308,true,5132,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/benson/index.html,16397,false,16397,2248,2839,true,3279,true,5077,true,Local Data Signals,3003,true,true,true
assisted-living/arizona/cities/bullhead-city/index.html,16833,false,16833,2360,2951,true,3366,true,5254,true,Local Data Signals,3122,true,true,true
assisted-living/arizona/cities/camp-verde/index.html,16675,false,16675,2312,2903,true,3335,true,5184,true,Local Data Signals,3071,true,true,true
assisted-living/arizona/cities/casa-grande/index.html,16797,false,16797,2328,2919,true,3359,true,5221,true,Local Data Signals,3088,true,true,true
assisted-living/arizona/cities/chandler/index.html,21474,false,21474,2280,2871,true,4294,true,6118,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/chinle/index.html,16184,false,16184,2248,2839,true,3236,true,5035,true,Local Data Signals,3003,true,true,true
assisted-living/arizona/cities/cottonwood/index.html,16660,false,16660,2312,2903,true,3332,true,5181,true,Local Data Signals,3071,true,true,true
assisted-living/arizona/cities/douglas/index.html,16433,false,16433,2264,2855,true,3286,true,5097,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/flagstaff/index.html,19199,false,19199,2296,2887,true,3839,true,5676,true,Local Data Signals,3054,true,true,true
assisted-living/arizona/cities/fountain-hills/index.html,16897,false,16897,2376,2967,true,3379,true,5280,true,Local Data Signals,3139,true,true,true
assisted-living/arizona/cities/gilbert/index.html,17620,false,17620,2264,2855,true,3524,true,5335,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/glendale/index.html,23081,false,23081,2280,2871,true,4616,true,6440,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/globe/index.html,17510,false,17510,2232,2823,true,3502,true,5287,true,Local Data Signals,2986,true,true,true
assisted-living/arizona/cities/goodyear/index.html,16425,false,16425,2280,2871,true,3285,true,5109,true,Local Data Signals,3037,true,true,true
assisted-living/arizona/cities/green-valley/index.html,16796,false,16796,2344,2935,true,3359,true,5234,true,Local Data Signals,3105,true,true,true
assisted-living/arizona/cities/kingman/index.html,18894,false,18894,2264,2855,true,3778,true,5590,true,Local Data Signals,3020,true,true,true
assisted-living/arizona/cities/lake-havasu-city/index.html,18387,false,18387,2408,2999,true,3677,true,5603,true,Local Data Signals,3173,true,true,true
assisted-living/arizona/cities/lakeside/index.html,16507,false,16507,2280,2871,true,3301,true,5125,true,Local Data Signals,3037,true,true,true
